id,artifact_id,group_id,version,signature,method
com.payermax+risk-collect,com.payermax,risk-collect,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lb/a; b (Landroid/content/Context; Lb/j;)V]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.1,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.2,Landroid.accounts.AccountManager;->getAccounts,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.2,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.3,Landroid.accounts.AccountManager;->getAccounts,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.raycoarana+roborouter,com.raycoarana,roborouter,1.0.3,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/raycoarana/roborouter/RoboRouter; someAccountExists ()Z]
com.razorpay+checkout,com.razorpay,checkout,1.6.9,Landroid.accounts.AccountManager;->getAccounts,[Lcom/razorpay/BaseUtils; getAccounts (Landroid/content/Context;)Ljava/lang/String;]
com.razorpay+customui,com.razorpay,customui,3.9.10,Landroid.accounts.AccountManager;->getAccounts,[Lcom/razorpay/BaseUtils; getAccounts (Landroid/content/Context;)Ljava/lang/String;]
