id,artifact_id,group_id,version,signature,method
com.klinkerapps+android-smsmms,com.klinkerapps,android-smsmms,5.2.5,Landroid/telephony/SmsManager;->sendMultimediaMessage,[Lcom/klinker/android/send_message/Transaction; sendMmsThroughSystem (Landroid/content/Context; Ljava/lang/String; Ljava/util/List; Ljava/lang/String; [Ljava/lang/String; Landroid/content/Intent; Z Landroid/net/Uri;)V]
com.klinkerapps+android-smsmms,com.klinkerapps,android-smsmms,5.2.6,Landroid/telephony/SmsManager;->sendMultimediaMessage,[Lcom/klinker/android/send_message/Transaction; sendMmsThroughSystem (Landroid/content/Context; Ljava/lang/String; Ljava/util/List; Ljava/lang/String; [Ljava/lang/String; Landroid/content/Intent; Z Landroid/net/Uri;)V]
