id,artifact_id,group_id,version,signature,method
com.github.tarsys.android+orm,com.github.tarsys.android,orm,1.0.3.5,Ldalvik/system/PathClassLoader;->loadClass(),"[Lcom/github/tarsys/android/orm/engine/SGBDEngine; lambda$getEntityClasses$2 (Ldalvik/system/PathClassLoader; Ljava/util/HashMap; Ljava/lang/String;)V, Lcom/github/tarsys/android/orm/engine/SGBDEngine; lambda$createDatabaseModel$5 (Ldalvik/system/PathClassLoader; Ljava/util/HashMap; Ljava/lang/String;)V]"
com.google.android.gms+play-services-ads,com.google.android.gms,play-services-ads,21.0.0,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/ads/zzaql; zzb (Lcom/google/android/gms/internal/ads/zzaql;)V, Lcom/google/android/gms/internal/ads/zzfmq; zzd (Lcom/google/android/gms/internal/ads/zzfmg;)Ljava/lang/Class;]"
com.google.android.gms+play-services-ads,com.google.android.gms,play-services-ads,21.1.0,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/ads/zzfms; zzd (Lcom/google/android/gms/internal/ads/zzfmi;)Ljava/lang/Class;, Lcom/google/android/gms/internal/ads/zzaqm; zzb (Lcom/google/android/gms/internal/ads/zzaqm;)V]"
com.google.android.gms+play-services-ads,com.google.android.gms,play-services-ads,9.8.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/google/android/gms/internal/zzbx; zzdp ()V]
com.google.android.gms+play-services-analytics,com.google.android.gms,play-services-analytics,7.0.0,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzg (Landroid/content/Context;)V]"
com.google.android.gms+play-services-analytics,com.google.android.gms,play-services-analytics,7.3.0,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V, Lcom/google/android/gms/internal/zzi; zzi (Landroid/content/Context;)V]"
com.google.android.gms+play-services-basement,com.google.android.gms,play-services-basement,18.0.2,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/google/android/gms/dynamite/zzc; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.google.android.gms+play-services-basement,com.google.android.gms,play-services-basement,18.1.0,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/google/android/gms/dynamite/zzc; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.google.android.gms+play-services-basement,com.google.android.gms,play-services-basement,9.8.0,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/google/android/gms/internal/zztl$9; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.google.android.gms+play-services-base,com.google.android.gms,play-services-base,6.5.8,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V]"
