id,artifact_id,group_id,version,permission,api,method
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.1.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; isActiveNetworkMetered ()Z,[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; d (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.2,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.2,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.1,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lvn/com/iotlink/maplink/utils/GPSTracker; requestGetNewLocation ()V, Lvn/com/iotlink/maplink/utils/GPSTracker; requestGetNewLocation ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.1,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lvn/com/iotlink/maplink/utils/GPSTracker; requestGetNewLocation ()V, Lvn/com/iotlink/maplink/utils/GPSTracker; requestGetNewLocation ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.4,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.4,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.5,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
vn.com.iotlink+maplink,vn.com.iotlink,maplink,0.0.5,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V, Lvn/com/iotlink/maplink/maps/MyLocationLayer$GPSTracker; startLocationUpdate ()V]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.09,['android.permission.ACCESS_WIFI_STATE'],Landroid/net/wifi/WifiManager; getConnectionInfo ()Landroid/net/wifi/WifiInfo;,"[Lcom/ushareit/easysdk/b/d/c; a (Landroid/content/Context;)Lcom/ushareit/easysdk/b/d/c;, Lcom/ushareit/easysdk/b/b/c/b; d (Landroid/content/Context;)Ljava/lang/String;]"
